,Timestamp,PSM_xyz,PSM_roll_pitch,Gripper_angle_radians,Puzzle_position_xyz,smartphone_input
0,1652784783.2227025,"(-3.168065309524536, 0.08585743606090546, 1.4333877563476562)","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539340898394585, 1.3817172050476074]","{'action': 'open', 'x': '100', 'y': '100', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
1,1652784789.2440119,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393390357494354, 1.3817172050476074]","{'action': 'joystick1', 'x': '119.5263671875', 'y': '109.80599975585938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
2,1652784789.2663045,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539339780807495, 1.3817172050476074]","{'action': 'joystick1', 'x': '131.95932006835938', 'y': '119.75741577148438', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
3,1652784789.2996423,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393368005752563, 1.3817172050476074]","{'action': 'joystick1', 'x': '133.0249786376953', 'y': '120.8236083984375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
4,1652784789.3216474,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539336055517197, 1.3817172050476074]","{'action': 'joystick1', 'x': '135.15634155273438', 'y': '126.51016235351562', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
5,1652784789.3537962,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393368005752563, 1.3817172050476074]","{'action': 'joystick1', 'x': '134.44589233398438', 'y': '128.642578125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
6,1652784789.375728,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539337918162346, 1.3817172050476074]","{'action': 'joystick1', 'x': '126.27568054199219', 'y': '132.55209350585938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
7,1652784789.4087787,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539339780807495, 1.3817172050476074]","{'action': 'joystick1', 'x': '123.07864379882812', 'y': '132.55209350585938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
8,1652784789.4314194,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393390357494354, 1.3817172050476074]","{'action': 'joystick1', 'x': '114.9084243774414', 'y': '130.77505493164062', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
9,1652784789.46491,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539337918162346, 1.3817172050476074]","{'action': 'joystick1', 'x': '107.80388641357422', 'y': '128.28720092773438', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
10,1652784789.4869838,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539339780807495, 1.3817172050476074]","{'action': 'joystick1', 'x': '104.96208190917969', 'y': '125.0885009765625', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
11,1652784789.5193572,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393390357494354, 1.3817172050476074]","{'action': 'joystick1', 'x': '103.18595123291016', 'y': '121.53451538085938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
12,1652784789.5417228,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539340525865555, 1.3817172050476074]","{'action': 'joystick1', 'x': '100.69934844970703', 'y': '114.42630004882812', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
13,1652784789.5759883,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393435060977936, 1.3817172050476074]","{'action': 'joystick1', 'x': '99.27845001220703', 'y': '106.96273803710938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
14,1652784789.5987873,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539342015981674, 1.3817172050476074]","{'action': 'joystick1', 'x': '100.69934844970703', 'y': '101.27621459960938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
15,1652784789.631926,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539342015981674, 1.3817172050476074]","{'action': 'joystick1', 'x': '102.47550201416016', 'y': '97.72213745117188', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
16,1652784789.6535194,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539342761039734, 1.3817172050476074]","{'action': 'joystick1', 'x': '107.80388641357422', 'y': '92.7464599609375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
17,1652784789.7110095,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539342761039734, 1.3817172050476074]","{'action': 'joystick1', 'x': '109.58002471923828', 'y': '92.03564453125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
18,1652784789.7375972,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393435060977936, 1.3817172050476074]","{'action': 'joystick1', 'x': '120.94728088378906', 'y': '94.87890625', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
19,1652784789.8254607,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539342015981674, 1.3817172050476074]","{'action': 'joystick1', 'x': '124.14431762695312', 'y': '98.07760620117188', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
20,1652784789.8649216,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539340525865555, 1.3817172050476074]","{'action': 'joystick1', 'x': '121.30250549316406', 'y': '136.81698608398438', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
21,1652784789.9251041,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539342761039734, 1.3817172050476074]","{'action': 'joystick1', 'x': '100', 'y': '100', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
22,1652784790.3290174,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539344623684883, 1.3817172050476074]","{'action': 'joystick1', 'x': '96.08140563964844', 'y': '116.55877685546875', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
23,1652784790.3614106,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539344996213913, 1.3817172050476074]","{'action': 'joystick1', 'x': '99.98889923095703', 'y': '122.95608520507812', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
24,1652784790.3841825,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393464863300323, 1.3817172050476074]","{'action': 'joystick1', 'x': '97.8575439453125', 'y': '128.28720092773438', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
25,1652784790.415736,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539344996213913, 1.3817172050476074]","{'action': 'joystick1', 'x': '94.66050720214844', 'y': '131.13043212890625', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
26,1652784790.4385383,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539344996213913, 1.3817172050476074]","{'action': 'joystick1', 'x': '87.91120147705078', 'y': '133.97369384765625', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
27,1652784790.4694915,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393438786268234, 1.3817172050476074]","{'action': 'joystick1', 'x': '84.00370025634766', 'y': '134.68450927734375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
28,1652784790.491536,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539345741271973, 1.3817172050476074]","{'action': 'joystick1', 'x': '80.45143127441406', 'y': '134.32913208007812', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
29,1652784790.5241416,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539342761039734, 1.3817172050476074]","{'action': 'joystick1', 'x': '79.03053283691406', 'y': '132.907470703125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
30,1652784790.5452554,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393416434526443, 1.3817172050476074]","{'action': 'joystick1', 'x': '77.609619140625', 'y': '121.53451538085938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
31,1652784790.580819,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539342761039734, 1.3817172050476074]","{'action': 'joystick1', 'x': '77.25439453125', 'y': '116.20333862304688', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
32,1652784790.605066,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539344996213913, 1.3817172050476074]","{'action': 'joystick1', 'x': '81.87235260009766', 'y': '110.16146850585938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
33,1652784790.6403763,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539342761039734, 1.3817172050476074]","{'action': 'joystick1', 'x': '100', 'y': '100', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
34,1652784791.2127993,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539340898394585, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '91.0791015625', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
35,1652784791.2358031,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539339780807495, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '81.127685546875', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
36,1652784791.2696843,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393386632204056, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '73.66412353515625', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
37,1652784791.290822,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539340525865555, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '56.96002197265625', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
38,1652784791.3226187,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539339780807495, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '52.33966064453125', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
39,1652784791.3452368,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393368005752563, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '40.96661376953125', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
40,1652784791.3784194,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539336055517197, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '36.70172119140625', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
41,1652784791.3999257,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539335682988167, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '36.3463134765625', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
42,1652784791.432259,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539339780807495, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '37.05712890625', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
43,1652784791.454577,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539337545633316, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '54.47210693359375', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
44,1652784791.4866734,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539336055517197, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '68.3330078125', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
45,1652784791.5086033,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393390357494354, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '88.23583984375', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
46,1652784791.5418062,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393390357494354, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '98.89813232421875', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
47,1652784791.5659606,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539334937930107, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '111.6927490234375', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
48,1652784791.5976999,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539337918162346, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '119.15625', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
49,1652784791.6216319,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539340525865555, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '125.19818115234375', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
50,1652784791.6549072,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539337918162346, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '125.5535888671875', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
51,1652784791.6765988,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393386632204056, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '121.64410400390625', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
52,1652784791.7102876,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393386632204056, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '110.98187255859375', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
53,1652784791.7371223,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539340525865555, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '102.80755615234375', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
54,1652784791.7698653,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539337545633316, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '101.74127197265625', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
55,1652784791.791759,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393368005752563, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '102.80755615234375', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
56,1652784791.8239772,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539336055517197, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '103.518310546875', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
57,1652784791.8460035,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.055393368005752563, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '120.577880859375', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
58,1652784791.8844154,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539336055517197, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '125.19818115234375', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
59,1652784791.9064906,"[-3.166044370939401, 0.0838773076642058, 1.4211776709595207]","(-0.13910330832004547, 0.10553038120269775)","(1.0, 1.0)","[-3.1710667610168457, 0.05539337918162346, 1.3817172050476074]","{'action': 'joystick2', 'x': '100', 'y': '100', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '1'}"
